Jan-24,Jan-24,Jan-24,Jan-24,Jan-24,Feb-24,Feb-24,Feb-24,Feb-24,Feb-24,Mar-24,Mar-24,Mar-24,Mar-24,Mar-24,Apr-24,Apr-24,Apr-24,Apr-24,Apr-24,May-24,May-24,May-24,May-24,May-24,Jun-24,Jun-24,Jun-24,Jun-24,Jun-24,Jul-24,Jul-24,Jul-24,Jul-24,Jul-24,Aug-24,Aug-24,Aug-24,Aug-24,Aug-24,Sep-24,Sep-24,Sep-24,Sep-24,Sep-24,Oct-24,Oct-24,Oct-24,Oct-24,Oct-24
Attendance,,Performance,,QI,Attendance,,Performance,,QI,Attendance,,Performance,,QI,Attendance,,Performance,,QI,Attendance,,Performance,,QI,Attendance,,Performance,,QI,Attendance,,Performance,,QI,Attendance,,Performance,,QI,Attendance,,Performance,,QI,Attendance,,Performance,,QI
Absences,Tardies,Answered Call %,Not Ready %,Avg QI Score,Absences,Tardies,Answered Call %,Not Ready %,Avg QI Score,Absences,Tardies,Answered Call %,Not Ready %,Avg QI Score,Absences,Tardies,Answered Call %,Not Ready %,Avg QI Score,Absences,Tardies,Answered Call %,Not Ready %,Avg QI Score,Absences,Tardies,Answered Call %,Not Ready %,Avg QI Score,Absences,Tardies,Answered Call %,Not Ready %,Avg QI Score,Absences,Tardies,Answered Call %,Not Ready %,Avg QI Score,Absences,Tardies,Answered Call %,Not Ready %,Avg QI Score,Absences,Tardies,Answered Call %,Not Ready %,Avg QI Score
0,0,69.74,22.59,,0,1,65.47,12.75,,0,1,57.84,10.84,,0,0,73.13,17.7,81.48,0,0,59.49,25.12,94.87,0,4,68.97,12.53,86.71,0,8,68.15,16.9,,0,0,72.47,25.23,,2,0,63.63,38.31,,0,6,85.48,13.84,
2,0,79.55,18.35,,0,1,75.34,15.69,,0,0,82.91,13.42,,0,1,72.3,13.44,98.15,0,1,72,18.9,99.11,0,1,68.45,13.72,100,3,0,90.71,13.73,,0,0,89.52,15.11,,2,0,94.59,20.02,,0,1,80,22.08,
NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,0,0,NA,NA,86.36,0,0,NA,NA,86.3,0,2,NA,NA,86.51,0,0,91.97,40.41,,0,0,92.08,35.86,,0,0,91.48,31.52,,0,5,95.58,34.44,
1,0,61.85,16.45,,0,0,64.75,16.15,,0,0,68.36,13.09,,0,0,83.47,14.32,88.52,0,1,86.32,20.06,77.42,0,0,86.44,25.44,89.47,0,0,98.65,25.2,,0,0,94.12,23.56,,0,0,100,26.42,,0,2,90.15,26.23,
0,0,70.47,44.93,,0,0,67.74,37.6,,0,0,85.17,42.02,,2,0,68.87,44.73,88.57,1,0,68.13,27.11,95.73,1,0,66.67,26.19,97.17,1,0,68.15,20.77,,0,0,56.96,31.49,,1,0,74.51,30.88,,2,0,63.3,34.01,
0,0,NA,NA,,0,2,85.94,20.43,,0,0,81.58,16.61,,2,0,88.39,17.19,100,2,0,93.12,13.89,91.18,2,0,79.75,11.28,94.12,0,0,91.43,10.07,,0,0,96.17,11.89,,0,0,100,13.74,,0,0,100,11.84,
0,0,76.19,22.11,,0,2,97.18,16.96,,0,0,76.26,20.59,,1,8,84.62,21.97,97.83,0,8,86.96,19.48,85.42,0,5,73.33,24.27,98.63,2,8,97.56,20.67,,0,8,94.12,20.87,,0,7,91.66,39.03,,0,7,92,21.67,
0,0,82,30.79,,0,0,75.16,26.56,,0,0,74.65,24.11,,1,0,74.34,27.43,100,0,0,72.93,25.88,100,0,0,79.85,18.37,100,1,0,97.56,14.48,,3,0,92.68,16.27,,0,0,94.28,33.54,,1,0,90.83,20.12,
0,0,94.23,23.47,,0,0,88.36,11.13,,0,0,92.91,19.41,,0,0,90.48,16.11,97.93,0,0,91.22,17.05,78.72,0,0,88.15,12.69,100,0,0,96.05,21.09,,0,0,90.91,20.09,,1,1,87.09,34.17,,0,0,94.85,28.91,
0,0,88.89,63.17,,0,0,96.23,30.05,,0,0,88,21.05,,0,0,96,22.85,100,0,0,97.22,37.99,NA,0,0,0,91.82,NA,LOA,LOA,NA,NA,,0,0,93.75,22.6,,2,0,NA,NA,,1,0,76.92,59.57,
0,1,93.01,16.58,,0,0,90.56,15.84,,0,0,88.03,17.1,,0,0,89.31,28.22,77.78,0,1,91.89,33.64,85.29,0,0,78.48,26.6,71.53,1,0,96.93,27.19,,0,0,99.39,20.36,,0,0,100,27.12,,0,0,96.53,28.67,
1,0,0,0.23,,0,0,50,0.7,,0,0,84.29,7.91,,0,0,100,1.96,NA,0,0,86.3,9.58,NA,0,0,0,6.81,NA,0,0,100,2.95,,0,0,100,10.84,,1,0,0,0.01,,0,0,0,0.8,
0,2,NA,NA,,0,6,74.57,20.2,,1,5,71.78,20.08,,1,4,75.72,21.17,96.58,1,2,69.31,22.98,87.16,0,0,86.05,26.55,86.26,0,1,94.59,20.81,86.99,0,0,95.63,24.42,,1,1,95.65,28.93,,0,0,92.07,26.12,
1,0,93.75,16.58,,0,0,,14.23,,0,0,80.59,17.1,,2,0,78.57,11.62,100,1,0,87.95,18.97,100,0,0,66.2,13.13,100,0,0,88.06,12.72,,0,0,93.33,16.77,,0,0,93.1,16.97,,1,0,98.24,16.57,
0,0,75.61,45.25,,0,0,88.89,43.28,,0,0,81.96,39.7,,0,0,89.06,47.15,100,1,0,89.24,39.6,97.69,0,0,85.25,40.64,97.96,0,0,94.95,42.56,,0,0,92.08,40.55,,0,0,92.59,50.05,,0,0,95.77,49.9,
0,0,94.12,0.84,,0,2,94.19,5.09,,1,0,95.33,7.11,,0,0,100,8.85,100,2,2,76.92,6.24,100,0,0,88.19,10.94,100,0,0,100,5.57,,0,0,88.89,7.94,,0,0,100,15.43,,0,0,97.06,11.98,
0,0,75.41,28.82,,0,1,60.58,14.89,,0,2,70.8,14.23,,0,4,71.13,19.93,95.89,0,1,55,14.4,99.32,0,1,90.18,16.04,99.11,0,3,84.91,19.55,,1,0,84.43,15.35,,0,0,87.76,13.48,,1,2,91.48,18.07,
0,0,97.78,17.3,,0,3,79.66,17.61,,0,1,83.87,12.15,,0,1,90,4.56,86.49,0,0,91.23,10.46,75.51,0,0,89.47,13.13,83.33,1,0,86.54,14.74,,0,2,92.59,11.14,,0,3,90.48,20.57,,0,4,92.11,18.16,
0,5,63.79,19.2,,0,4,67.97,20.88,,0,0,63.6,12.05,,0,2,62.66,20.36,100,0,2,66.67,16.22,100,0,0,71.72,13.37,97.86,0,1,81.3,11.63,,0,0,78.84,16.51,,0,0,71.43,12.78,,0,4,70.87,17.05,
3,0,NA,0.01,,4,0,NA,2.88,,0,0,NA,0.05,,1,0,NA,0.17,NA,0,0,NA,0.19,79.49,0,0,NA,0.02,NA,0,0,NA,0.02,,1,0,NA,0.03,,4,0,NA,0,,1,0,NA,0.13,
0,2,79.46,18.35,,0,1,86.55,11.94,,0,0,90.74,18.02,,0,0,85.62,29.64,90.57,2,0,83.66,15.08,98.1,0,0,88.46,15.12,90.65,0,0,86.93,19.22,,0,0,88.89,18.21,,0,0,86.36,25.57,,1,0,88.17,19.62,
1,1,81.07,20.73,,0,1,78.89,24.06,,1,0,75.9,22.77,,0,3,84.43,35.08,95.33,1,1,82.32,27.92,98.25,1,4,96.12,8.92,100,5,1,86.49,31.73,,1,2,92.16,39.81,,0,0,97.22,36.16,,1,3,93.53,28.75,
0,11,86.51,35.03,,0,6,79.09,20.49,,1,0,85.26,30.55,,2,2,86.05,39.23,98.28,0,2,85.44,36.96,97.17,3,0,82.86,36.69,100,1,3,95,32.05,,1,0,97.5,41.39,,1,0,100,63.1,,1,3,93.65,28.75,
3,0,81.94,20.58,,1,0,83.54,15,,1,0,76.05,18.95,,2,0,73.85,19.69,92.5,0,0,87.3,19.68,96.08,2,0,86.11,16.9,87.76,0,0,91.43,18.05,,0,0,92.31,20.36,,0,0,100,19.25,,1,0,97.22,20.9,
NA,NA,NA,NA,,NA,NA,NA,NA,,0,1,NA,NA,,0,5,NA,NA,100,0,0,NA,NA,79.02,0,3,NA,NA,NA,0,2,NA,NA,78.79,1,2,NA,NA,,2,1,NA,NA,,1,3,93.58,22.62,
